ticket,cls,verdict,hits,missing,bad_paths,desc
S6-B1586e,CLOSED,NO_CLAIM,,,," DONE | Queue-coverage audit EXECUTED: 25 L-entries this session, 22 referenced in the queue (L430-432 predate"
S6-B1587a,CLOSED,SYMBOL_PRESENT,scan_unverified_cause;verify_turn_compliance.py,,, DONE | CHECKLIST #195 + skill NO-UNTESTED-CAUSE RULE + scanunverifiedcause() WIRED into verifyturncompliance.
S6-B1587b,CLOSED,NO_CLAIM,,,, DONE | Swing-length guard VERIFIED still enforced after the union fix (owner question). cfg2 at WRONG sw=20: 
S6-B1588a,CLOSED,SYMBOL_PRESENT,scripts/spot_check_trades.py,,," DONE | 50-trade spot check, BOTH configs: 100/100 producer agreement, 0 execution failures. Every sampled tra"
S6-B1588b,CLOSED,SYMBOL_PRESENT,hold_days,,," DONE | My checker, not the engine. First run reported 35/50 execution failures on holddays; TESTED before nam"
S6-B1588c,CLOSED,SYMBOL_PRESENT,hold_days,,, RESOLVED - DEFECT CONFIRMED | holddays IS calendar days and the annualisation divides 252 TRADING days by it.
S6-B1589a,DONE,SYMBOL_PRESENT,_sharpe,,, DONE | 252-trading units fix APPLIED (owner ruling). sharpe converts CALENDAR hold to TRADING days before ann
S6-B1589b,DEFERRED,SYMBOL_PRESENT,xs_momentum_top_decile;xs_momentum_with_smart_money_long,output_audit/b1600_roster_AFTER.md,, reason: REASON-NOT-RECORDED (pre-B1769) PART-DONE | Roster re-derived on the corrected Sharpe. xsmomentumtopd
S6-B1589c,DONE,NO_CLAIM,,,, MED | The B1371 fix corrected a MISSING annualisation and was calibrated against the 0.7 gate - it changed th
S6-B1590a,CLOSED,SYMBOL_PRESENT,ma_exit_ema9;time_stop_10d,,," DONE | Exit selection MEASURED. Search space is 4,000 x 26 = 104,000 cells collapsed to 4,000 by IS selection"
S6-B1590b,CLOSED,SYMBOL_MISSING,,roster_core.select_exit,," RESOLVED (owner ruling) | STEP 1 = best exit by SHARPE (cheap ranking, never decides admission, so no haircut"
S6-B1591a,DONE,SYMBOL_PRESENT,atr_trail_1x;atr_trail_mae_conditional;regime_flip;reverse_signal,,, DONE | ADVERSARIAL FINDING: the 26 exits are not 26 distinct exits. Across 330 cfg1 entries: regimeflip==time
S6-B1591b,DONE,SYMBOL_PRESENT,atr_trail_1x;regime_flip;regime_series;reverse_signal,,, RESOLVED | Cause CONFIRMED at source. regimeflip == timestop20d because the registry lambda never passes regi
S6-B1591c,DONE,SYMBOL_PRESENT,n_gates;select_exit,,," HIGH | Consequences regardless of cause: (a) ""best of 26"" overstates the exit search - effective breadth is l"
S6-B1593a,CLOSED,SYMBOL_PRESENT,exits_collapsed;exits_effective;select_exit,,, DONE | A: effective-exit disclosure. selectexit reports exitseffective/exitscollapsed. cfg1 measured: 26 stor
S6-B1593b,CLOSED,SYMBOL_PRESENT,n_gates,,," DONE | B: duplicate collapse before selection, so ""best of N"" reports the TRUE N and the ngates tie-break is "
S6-B1593c,CLOSED,SYMBOL_PRESENT,_process_day;exit_regime_flip;regime_by_date;regime_flip,,, DONE | C: regimeflip wired. exitregimeflip recovers regimebydate from signals; engine POPULATES it per sim-da
S6-B1593d,CLOSED,SYMBOL_PRESENT,regime_flip;time_stop_20d;xs_momentum_with_smart_money_long,,," HIGH - OWNER | BLAST RADIUS MEASURED. Phase 1B roster row 2, xsmomentumwithsmartmoneylong - one of only TWO R"
S6-B1594a,OPEN,SYMBOL_PRESENT,--swing-length,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1595a,DONE,NO_CLAIM,,,," DONE | Post-fix re-check rule was in LEARNINGS ONLY (verified: LEARNINGS 1, CHECKLIST 0, SKILL 0). Now CHECKL"
S6-B1595b,OPEN,NO_CLAIM,,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1595c,BLOCKED,NO_CLAIM,,,," reason: awaiting the exit name. BLOCKED - OWNER | Instruction read: ""xsmomentumwithsmartmoneylong change sele"
S6-B1596a,CLOSED,SYMBOL_PRESENT,scan_orphan_rule,,," DONE | MEASURED the orphan-rule class: 24 L-entries state a rule, 18 anchored NOWHERE - a 75pct orphan rate. "
S6-B1596b,CLOSED,SYMBOL_PRESENT,regime_flip;time_stop_20d;xs_momentum_with_smart_money_long,,, DONE | Phase 1B roster row 2 xsmomentumwithsmartmoneylong relabelled regimeflip -> timestop20d (owner-approve
S6-B1596c,CLOSED,SYMBOL_PRESENT,scan_orphan_rule,verify_turn_compliance.main,, DONE | scanorphanrule() WIRED into verifyturncompliance.main() and skill ANCHOR-THE-RULE RULE added - both ow
S6-B1597a,CLOSED,NO_CLAIM,,,, DONE | Runbook bookends added. §1.0 PRE-LAUNCH GATE (universe provenance + measured RAM ceiling + confirm swe
S6-B1598a,OPEN,NO_CLAIM,,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1599a,OPEN,NO_CLAIM,,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1600a,DONE,SYMBOL_PRESENT,build_phase_1b_roster.py;regime_flip;time_stop_20d,roster_core.truthful_exit_name,, DONE (owner option 2) | Fix moved into the GENERATOR. rostercore.truthfulexitname() relabels pre-B1593 degrad
S6-B1601a,DONE,NO_CLAIM,,,," DONE | MEASURED the enforcement tiers of my 7 CHECKLIST additions: 3 AUTO-GATED (#188/#189/#191), 1 TOOLED-BU"
S6-B1601b,OPEN,SYMBOL_PRESENT,scan_postfix_recheck,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1601c,DONE,SYMBOL_PRESENT,run_phase1a.py;scan_unverified_universe;verify_universe_artifact.py,,, DONE | #187 PROMOTED to AUTO-GATED. scanunverifieduniverse blocks a runphase1a.py launch without verifyuniver
S6-B1601d,DONE,NO_CLAIM,,,," NOTE | #192 and #193 genuinely resist automation - ""walk the lifecycle"" and ""decide where a fix belongs"" are "
S6-B1601e,DONE,SYMBOL_PRESENT,test_b1255_turn_gate_verifier,,, MED | testb1255turngateverifier is now sensitive to LIVE repo state - it fails whenever an unanchored L-entry
S6-B1602a,CLOSED,NO_CLAIM,,,, DONE | Enforcement TIERS recorded in #191 (L468): TIER 1 auto-gated / TIER 2 tooled / TIER 3 prose. Adding an
S6-B1603a,CLOSED,SYMBOL_PRESENT,command,nohup ... run_phase1a.py,," DONE | Both launch detectors fixed. They scanned the whole tool-input blob, so WRITING a test fixture contain"
S6-B1603b,CLOSED,NO_CLAIM,,,, DONE | CHECKLIST numbering COLLISION. My #187-#193 clashed with a legacy item 192. Renumbered to #193-#199; c
S6-B1603c,CLOSED,SYMBOL_PRESENT,test_b1486_claude_md_banner_counts_are_fresh,,," DONE | LEARNINGS heading format was invented, not matched. Legacy is a bare ### L434; I wrote ### L435 - titl"
S6-B1604a,DONE,NO_CLAIM,,,, DONE | L469 anchored by CHECKLIST #200 (parse the whole file before appending; a green check on unparseable i
S6-B1604b,DONE,NO_CLAIM,,,, DONE | CLAUDE.md banner synced to CHECKLIST #1-#192 / LEARNINGS L1-L469. The banner-freshness test now sees a
S6-B1605a,CLOSED,SYMBOL_PRESENT,scan_unmeasured_quantity,,, DONE | Owner directive: every quantitative claim must be TESTED. CHECKLIST #201 + skill TEST-EVERY-QUANTITY R
S6-B1605b,CLOSED,NO_CLAIM,,,," DONE | Why #195 missed it: it was never asked. TESTED - #195 matches CAUSAL language only; ""costs nothing"" is"
S6-B1605c,OPEN,NO_CLAIM,,,," reason: awaiting ruling. OPEN - RULING WITHDRAWN (owner 2026-08-17: ""undo"") | Step 1's window overlaps the lo"
S6-B1606a,DONE,SYMBOL_PRESENT,in_sample;select_exit,build_phase_1b_roster:218-227;roster_core:171;tighten_breaker_block:226;universe_ladder_run:115,," NOTE | insample() has exactly THREE consumers and all three feed selectexit (rostercore:171, tightenbreakerbl"
S6-B1606b,OPEN,NO_CLAIM,,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1609a,DONE,NO_CLAIM,,,, DONE | SPEC-vs-IMPLEMENTATION RULE added to the SKILL (owner asked; it was NOT there). Verified by exact in t
S6-B1609b,DONE,NO_CLAIM,,,, DONE | A match COUNT is not evidence of presence. grep -c returned 12 for an absent rule because 202 matches 
S6-B1610a,CLOSED,SYMBOL_PRESENT,tail_n,,," RESOLVED - DEFECT CONFIRMED | RCA: tailn band is MISPLACED, not broken (owner: ""the bands are clearly not wor"
S6-B1610b,CLOSED,NO_CLAIM,,,," OWNER - APPROVAL NEEDED | RE-BAND P3. Recommend [1, 2, 3, 20] - spans the measured discriminating region, kee"
S6-B1610c,CLOSED,SYMBOL_PRESENT,age_bars_max;tail_n,,, OWNER - RULING NEEDED | tailn is COLLINEAR with agebarsmax - Spearman +0.881 between event rank and age-in-ba
S6-B1610d,CLOSED,SYMBOL_PRESENT,scripts/verify_grid_bands.py;tail_n;test_b1610_inert_swept_level_is_detected,,, DONE | Grid-band check is MECHANICAL. scripts/verifygridbands.py exits 2 on any adjacent level pair moving <1
S6-B1610e,CLOSED,SYMBOL_PRESENT,admit;class_size;members,"output_audit/b1615_cfg{1,2}_grid.json",, DONE - OWNER APPROVED (Option D) | Step 1 now ranks DISTINCT OUTCOMES and carries the equivalence class. Top-
S6-B1610f,CLOSED,NO_CLAIM,,,," MED | Step 1 still PRINTS a PASS/FAIL column. B1608 added the ranked list but left the legacy gate table, so "
S6-B1610g,CLOSED,NO_CLAIM,,,, DONE | Session L-entry anchor audit (owner question). 38 entries L435-L472; 31 anchored in CHECKLIST or SKILL
S6-B1610h,CLOSED,NO_CLAIM,,,, OWNER - APPROVAL NEEDED | Skill additions require owner sign-off per standing rule. Proposed: (1) BAND-AND-DI
S6-B1610i,CLOSED,SYMBOL_PRESENT,test_b1486_claude_md_banner_counts_are_fresh,,, DONE | The banner-freshness test was GREEN on a 13-item-stale banner. testb1486claudemdbannercountsarefresh p
S6-B1611a,CLOSED,SYMBOL_MISSING,,verify_grid_bands.py --anchor,, DONE | Runbook gap CLOSED - the anomaly sweep existed and did not cover the parameter axis. MANDATORY POST-CO
S6-B1611b,CLOSED,SYMBOL_PRESENT,--anchor;verify_grid_bands.py,--anchor tail_n=20,, DONE | --anchor added to verifygridbands.py. A production anchor is inert BY DESIGN; without an exemption the
S6-B1612a,CLOSED,SYMBOL_PRESENT,tail_n,,," DONE | De-dup key VERIFIED SOUND - zero false merges. The key (fires, exit, sharpe) could in principle merge "
S6-B1612b,CLOSED,SYMBOL_PRESENT,tail_n,,," DONE | Equivalence classes MEASURED on the re-banded grids. cfg1: 85 rankable -> 48 distinct, class sizes {1:"
S6-B1612c,CLOSED,SYMBOL_PRESENT,age_bars_max;tail_n,"tail_n=2;tail_n=2, bpm=0.05",, DONE | The collinearity runs BOTH ways. cfg2's cross-parameter classes are agebarsmax going inert at LOW tail
S6-B1612d,CLOSED,NO_CLAIM,,,," OWNER - RULING NEEDED | Which member of an equivalence class is retained? (owner: ""if we deduplicate which p3"
S6-B1612e,CLOSED,SYMBOL_PRESENT,tail_n,,," NOTE | The equivalence class is SAMPLE-SPECIFIC. tailn in {5, 10, 20} ties on 100 tickers x 2y given a bindin"
S6-B1612f,CLOSED,SYMBOL_PRESENT,SMC_BREAKER_AGE_BARS_MAX;SMC_BREAKER_BREAK_PCT_MAX;SMC_OB_CLOSE_MITIGATION;SMC_OB_TAIL_N,current_idx - position_of_the_OB_bar,, DONE - OWNER APPROVED | P2-P5 are ENGINE-IMPLEMENTED. config.py: SMCOBCLOSEMITIGATION / SMCOBTAILN / SMCBREAK
S6-B1612g,CLOSED,SYMBOL_PRESENT,scripts/verify_engine_implemented.py,,, DONE | Gate built: scripts/verifyengineimplemented.py. Asserts each swept parameter's engine status against L
S6-B1612h,CLOSED,NO_CLAIM,,,, HIGH | The runbook had NO engine-implementation step. MANDATORY POST-CONFIG ANALYSIS runs search -> validate 
S6-B1613a,DONE,NO_CLAIM,,,, NOTE - ANSWERS OWNER Q | Top-N counts OUTCOMES; the COMBINATION count rides along and varies. MEASURED on the
S6-B1613b,DONE,SYMBOL_PRESENT,break_pct_max;ma_exit_ema9;r_multiple_2r,,, NOTE - WORKED EXAMPLE FOR S6-B1612f | What deploying cfg2's current winner would actually do. GRADED winner c
S6-B1613c,DONE,SYMBOL_MISSING,,git show HEAD:STRATEGY_OPTIMISATION_PLAN.md;verify_grid_bands.py --anchor,," DONE | Runbook text VERIFIED AT HEAD (owner asked whether it actually landed, not whether it was written). gi"
S6-B1614a,CLOSED,NO_CLAIM,,,, RESOLVED - PREMISE MEASURED FALSE | Carrying an equivalence class does NOT inflate Step 2 runtime. MEASURED o
S6-B1614b,CLOSED,SYMBOL_PRESENT,swing_length,,, NOTE - THE RULE THAT DOES BIND | A FIRE-ADDING parameter must never be carried as an equivalence class. swing
S6-B1614c,CLOSED,SYMBOL_PRESENT,spot_check_trades.py,,, DONE - RCA | Why the post-config audit missed 4 grader-only parameters. (1) spotchecktrades.py declares its m
S6-B1614d,CLOSED,SYMBOL_PRESENT,engine_implemented;producer_variant_table.py;smc_ob_bullish_active,"smc_ict.py:252 (event_recency_bars, S6-B1500a",, DONE | P4 mis-citation CORRECTED and engineimplemented declared as a FIELD on all six parameters in producerv
S6-B1616a,CLOSED,SYMBOL_PRESENT,_smc.ob;close_mitigation,,, NOTE | closemitigation reads DEAD on a single-ticker probe. smc.ob returns byte-identical frames for True/Fal
S6-B1616b,CLOSED,SYMBOL_PRESENT,verify_engine_implemented.py,,, DONE - THE GATE WORKED | verifyengineimplemented.py REFUSED to pass after B1616 until its table was updated -
S6-B1617a,CLOSED,NO_CLAIM,,,," RESOLVED - OWNER RULED 544 | Owner 2026-08-17: 544. All 8 stale references swept, with every DERIVED quantity"
S6-B1617b,CLOSED,SYMBOL_PRESENT,SMC_BREAKER_VARIANTS;_breaker_scan;_smc.ob;close_mitigation,"BREAKER_VARIANT_STRATEGIES;len(ALL_STRATEGIES;make_breaker_variant_strategy(suffix, direction;smc_breaker_block_{bullish,bearish}__<sfx>",, DONE - OWNER APPROVED C+D | Variants ship; the roster is unchanged. (C) SMCBREAKERVARIANTS emits SUFFIXED key
S6-B1617c,CLOSED,SYMBOL_PRESENT,_ob_pos,breaker_age_bars_max is not None,, DONE | Default-path obpos build removed. B1616 built a {label: position} dict over the whole OB frame on EVER
S6-B1617d,CLOSED,SYMBOL_PRESENT,results;step1_ranking,b1615_cfg2_grid.json,, RESOLVED - NO RE-GRADE NEEDED | cfg1/cfg2 do NOT need re-grading after B1615/B1616. The engine change is defa
S6-B1617e,CLOSED,SYMBOL_MISSING,,current_idx - position_of_the_OB_bar;tail_n <= 20,," NOTE - CHECKED, NO DEFECT | Engine breaker loop vs the offline grader, read line by line: tail/rank semantics"
S6-B1617f,CLOSED,SYMBOL_MISSING,,USE_SMC_PANEL_CACHE = False;USE_SMC_PANEL_CACHE=True;current_idx - swing_length,," NOTE - PRE-EXISTING, GATED | The panel cache slices swing-dependent primitives at currentidx - swinglength wh"
S6-B1617g,BLOCKED,NO_CLAIM,,,, reason: REASON-NOT-RECORDED (pre-B1769) BLOCKED - THIRD ATTEMPT FAILED | The fable cold pass was launched a t
S6-B1618a,CLOSED,SYMBOL_PRESENT,_sweep_100.txt;r5_universe_381.txt;test_b1618_sweep_builder_reads_the_correct_baseline,scripts/build_sweep_100.py:36,, DONE - ARMED FOOTGUN DISARMED | scripts/buildsweep100.py:36 read r5universe381.txt - the abandoned A-C chunk.
S6-B1619a,CLOSED,SYMBOL_PRESENT,_smc.ob;close_mitigation;ob_df,,," DONE - MEASURED | Variant cost, measured BEFORE building (discharging the prior turn UNVERIFIED caveat): extr"
S6-B1619b,CLOSED,SYMBOL_PRESENT,_smc.ob;close_mitigation,,, DONE - ISOLATION PROVEN | Across 3 tickers and every sampled bar a TUNED variant moved a base key 0 times whi
S6-B1619c,CLOSED,SYMBOL_PRESENT,SMC_PRIMITIVE_KEYS,,," DONE - CHECKED NOT ASSUMED | Demand pruning cannot silence a variant. SMCPRIMITIVEKEYS = {fvg, boschoch, retr"
S6-B1619d,CLOSED,SYMBOL_PRESENT,SMC_BREAKER_VARIANTS;assert_variant_strategies_are_configured,,, DONE | Silent-zero guard. assertvariantstrategiesareconfigured() RAISES when a registered variant strategy su
S6-B1619e,CLOSED,SYMBOL_PRESENT,--anchor;BREAKER_LOOP;_breaker_scan,,, NOTE - GATE HYGIENE | The engine gate fired twice on this refactor: correctly (anchors moved into breakerscan
S6-B1620a,DONE,SYMBOL_PRESENT,backtest.py;regime_by_date;regime_flip;run_exit_comparison,self._regime_by_date,, DONE - FIXED B1622 | regimeflip now actually runs. runexitcomparison takes regimebydate and injects it per tr
S6-B1620b,OPEN,SYMBOL_PRESENT,cfg_breaker;cfg_ema_span;cfg_swing_length;trade_exit_detail,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1620c,DONE,SYMBOL_PRESENT,--max-diag-loss;continue,"DROPS[""no_parquet""]",," DONE | Grader drops are counted, named and ABORT. A ticker with no parquet was a bare continue; now DROPS[""no"
S6-B1620d,DONE,NO_CLAIM,,,, DONE | Step 1 no longer PRINTS gate verdicts. Verdicts stay in the payload for Step 2; the printed table is n
S6-B1620e,DONE,SYMBOL_PRESENT,all_live_gates;full_period_n;min_trades_full_period;n_gates,bear_regime_stress_test;best_exit_by_gates;build_phase_1b_roster.py:221;full_period_n=1,, DONE - AND IT WAS WORSE THAN THE TICKET SAID | The ticket said nholdout comes back None. The real defect was 
S6-B1620f,DONE,NO_CLAIM,,,, OWNER - WALL-CLOCK PLAN | 18 configs x 3.30 h = 59.4 h serial. At the MEASURED 3-config concurrency ceiling (
S6-B1620g,DONE,NO_CLAIM,,,," NOTE - STALE QUEUE STATUSES | 97 of 225 tickets read OPEN by LAST status, but the queue APPENDS resolutions r"
S6-B1620h,DONE,SYMBOL_PRESENT,_sharpe;_smc.ob;close_mitigation;smc_ict.py,except Exception: log_silent_failure;roster_core.select_exit,," NOTE - COLD PASS CLEAN ON THE HEADLINE | The fresh-eyes review ran 5,360 comparisons (4 tickers x 1,340 PIT b"
S6-B1621a,CLOSED,SYMBOL_MISSING,,"getattr(_cfg, ""SMC_OB_TAIL_N"", 20",," DONE - COLD PASS CONFIRMED BY ME | The engine-reachability gate matched RAW TEXT - ""breakmax is not None"" in "
S6-B1621b,CLOSED,SYMBOL_PRESENT,age_bars_max;verify_grid_bands.py,,, DONE | verifygridbands.py dropped any requested key absent from the grid and printed an unqualified PASS. A g
S6-B1621c,CLOSED,SYMBOL_PRESENT,BF-B,BF-B.parquet.equals(BF_B.parquet;cache._cache_path,, DONE | Grader ticker resolution had no normalisation. It opened {ticker}.parquet verbatim; production cache.c
S6-B1621d,CLOSED,NO_CLAIM,,,," NOTE - THE COMMON SHAPE | All three tool defects fail OPEN: a comment satisfies a check, a missing key is ski"
S6-B1622a,CLOSED,SYMBOL_PRESENT,regime_flip_bull_to_bear;regime_flip_max_days_20;time_stop_20d,,, DONE | The B1593 pin test was a spelling check. It asserted two STRINGS appeared somewhere in source and neve
S6-B1622b,CLOSED,SYMBOL_PRESENT,regime_flip,,, CORRECTED - THE ASYMMETRY DOES NOT EXIST | Owner accepted a cfg1/cfg2-vs-new-cube regimeflip asymmetry on my 
S6-B1623a,CLOSED,SYMBOL_PRESENT,atr_trail_1x;atr_trail_mae_conditional;measure_degraded_exits;output_r5_merged_1_7,truthful_exit_name(cube_predates_b1593=True,, DONE - MEASUREMENT BEATS THE RECORD | measuredegradedexits replaces truthfulexitname(cubepredatesb1593=True) 
S6-B1625a,CLOSED,SYMBOL_MISSING,,test_bug_232;test_bug_30,," NOTE - SELF-INFLICTED, RECORDED | My first version of the B1625 test called importlib.reload(backtest.config)"
S6-B1626a,CLOSED,NO_CLAIM,,,," DONE - ANSWER IS NO, AND IT WAS WORSE | Owner asked whether L484's two errors were in CHECKLIST. They were no"
S6-B1626b,CLOSED,SYMBOL_PRESENT,scan_orphan_rule,,, DONE - THE GATE WAS FAILING OPEN | scanorphanrule classified an entry as rule-bearing by three EXACT phrases 
S6-B1626c,CLOSED,NO_CLAIM,,,, NOTE - THE WEEK'S LESSON ON THE WEEK'S TOOLING | Every defect since B1610 was a component that FAILED OPEN an
S6-B1626d,CLOSED,SYMBOL_PRESENT,test_b1597_orphan_rule_gate_wired_and_pinned,,," DONE - THE TEST PINNED THE DEFECT | testb1597orphanrulegatewiredandpinned asserted ""narrative with no rule ->"
S6-B1627a,BLOCKED,SYMBOL_MISSING,,free_MB=6511;total_MB=16009,, reason: REASON-NOT-RECORDED (pre-B1769) BLOCKER - RAM CEILING MOVED | The 3-config ceiling does not hold toda
S6-B1627b,BLOCKED,SYMBOL_PRESENT,regime_flip;trade_exit_detail.csv,,," reason: REASON-NOT-RECORDED (pre-B1769) BLOCKER - LAUNCH MECHANISM UNPROVEN | Two smoke attempts, zero valida"
S6-B1627c,DONE,NO_CLAIM,,,, NOTE - GATE CAUGHT ME | The turn gate blocked on CHECKLIST #185: the background launch went out with no monit
S6-B1627d,DONE,SYMBOL_PRESENT,prelaunch_gate.py;regime_flip;verify_universe_artifact,run_manifest.json,," DONE - PRE-LAUNCH GATE, 6 OF 9 CLEARED | Universe CLEARED (verifyuniverseartifact -> ""looks like a broad univ"
S6-B1631a,CLOSED,SYMBOL_PRESENT,--cube-isolation;smc_breaker_block_bullish;smc_breaker_block_long,price_above_ema_{span};size_pct = CUBE_ISOLATION_SIZE_PCT,," DONE - STEP 4 SCOPE ANSWERED FROM CODE | OHLCV-only is correct here, because of a FLAG not the strategy. smcb"
S6-B1631b,CLOSED,NO_CLAIM,,,, DONE (retro-ticketed B1635) | Q2 of that turn: step-4 ENGINE leg wired + lenses 7 -> 11. Shipped in B1631; re
S6-B1631c,CLOSED,NO_CLAIM,,,, DONE - LENSES 7 -> 11 | Mapped every defect since B1610 against the 7 lenses; four classes had no lens and sh
S6-B1631d,CLOSED,NO_CLAIM,,,, DONE - OPTION C CODIFIED | Owner chose C. Wave 1 OWNER-GATED (first pool=3 measurement; the other 8 waves re-
S6-B1632a,DONE,SYMBOL_PRESENT,--cube-isolation,spot_check_trades,," DONE - THE INVERTED GATE CAUGHT ME | The fail-CLOSED orphan gate built in B1626 blocked turn-end on L487, one"
S6-B1633a,CLOSED,NO_CLAIM,,,," DONE - Q1 CONFIRMED, WITH A CORRECTION | Owner recalled that the lens expansion followed their ""why wasn't th"
S6-B1633b,CLOSED,SYMBOL_PRESENT,compute_smc_signals,spot_check_trades.rederive_fire,, DONE - Q2 WIRED AND ENGINE-IMPLEMENTED | Step-4 engine leg: spotchecktrades.rederivefire now CALLS computesmc
S6-B1633c,CLOSED,SYMBOL_PRESENT,verify_turn_compliance.py,check_<name>;scan_*,," DONE - Q3 ANSWERED: STATED, NOT GATED | The skill demands code-verification in 4 places (Phase 4 AUDIT DEPTH,"
S6-B1633d,CLOSED,NO_CLAIM,,,, DONE (retro-ticketed B1635) | Q4 of that turn: orphan-gate BACKLOG sweep. Shipped in B1633; recorded here for
S6-B1633e,CLOSED,SYMBOL_MISSING,,current_status,, DONE - Q5 QUEUE AUDIT | 49 tickets carry multiple rows; 17 have a resolving row appended after an open one. T
S6-B1633f,CLOSED,SYMBOL_PRESENT,test_b1255_turn_gate_verifier,,," NOTE - TWO SELF-INFLICTED, BOTH CAUGHT | (1) My anchor patch used if old in s: for ### #154 - an item number "
S6-B1634a,CLOSED,SYMBOL_PRESENT,scripts/verify_spotcheck_coverage.py;smc_breaker_block_long,,," DONE - OWNER CORRECTION, GENERALISED | Step 4 is a STANDARD, not a one-strategy check. OHLCV-only coverage is"
S6-B1634b,CLOSED,NO_CLAIM,,,, HIGH - NEXT | 185 strategies need their non-OHLCV inputs made verifiable before step 4 can certify them - sma
S6-B1634c,CLOSED,SYMBOL_PRESENT,Bash;Glob;Grep;PowerShell,,," DONE - BUILT AS THE NARROW VERSION | scanunverifiedstructure + CHECKLIST #215, WIRED. Blocks a turn asserting"
S6-B1634d,CLOSED,SYMBOL_PRESENT,--open;--stale,scripts/queue_status.py,, DONE | scripts/queuestatus.py resolves LAST-ROW-WINS at read time; history untouched. MEASURED: 293 tickets /
S6-B1634e,CLOSED,SYMBOL_PRESENT,ohlcv;smc_breaker_block_long,"classify(""smart_money_score""",," DONE - COLLISION CAUGHT BY THE PIN | classify(""smartmoneyscore"") returned ohlcv because sma matches inside sm"
S6-B1635a,CLOSED,NO_CLAIM,,,, DONE - OWNER CORRECTION | Q2 and Q4 got a disposition in the RESPONSE table and no queue row. VERIFIED: no B1
S6-B1636a,DONE,NO_CLAIM,,,," UNKNOWN - RCA NEEDED | Is an ""already done in a previous batch"" disposition disproportionately likely to lose"
S6-B1636b,DONE,NO_CLAIM,,,, NOTE - THE GATES CAUGHT THEIR AUTHOR | Twice this session a gate blocked the turn that built or invoked it: t
S6-B1637a,CLOSED,SYMBOL_PRESENT,nyse_mcal;prelaunch_gate.py;run_manifest_wave1.json,,," DONE | runmanifestwave1.json written and prelaunchgate.py PASSES bare-exit-0. LOCAL mode, isolation true, cal"
S6-B1637b,CLOSED,SYMBOL_PRESENT,_universe_label;check;tier,prelaunch_gate.py:134,, DONE - GATE BUG FOUND BY USING IT | prelaunchgate.py:134 crashed on the first LOCAL manifest with a STRING un
S6-B1637c,CLOSED,SYMBOL_PRESENT,tail,,, DONE - CHECKLIST #217 | My shell reported the crash as a PASS. ... 2>&1 | tail -12; echo $? printed 0 - the e
S6-B1637d,CLOSED,NO_CLAIM,,,," DONE - #212 SATISFIED BY MEASUREMENT | The detached marker launched at 23:54:17 logged 69 ticks, last at 00:1"
S6-B1637e,CLOSED,NO_CLAIM,,,," ARMED | Hourly monitor CronCreate 5403417a, UNCONDITIONAL (""do not withhold... silence is correct only when n"
S6-B1638a,DONE,SYMBOL_PRESENT,test_b1610_inert_swept_level_is_detected,b1589_cfg1_grid.json;b1608_cfg2_grid.json,, DONE - PIN TESTS ON UNCOMMITTED EVIDENCE | testb1610inertsweptlevelisdetected reads b1589cfg1grid.json + b160
S6-B1638b,DONE,SYMBOL_MISSING,,output_cfg1,, NOTE - HOURLY REPORT 1 | Nothing running - the sweep has NOT started. python PIDs 6480/15992 were the #212 ma
S6-B1646a,DONE,SYMBOL_MISSING,,PRELAUNCH_GATE_PASS;screen_pool_workers: 3,, DONE - PRE-FLIGHT CAUGHT THE MANIFEST | screenpoolworkers: 3 was written into the manifest and never measured
S6-B1646b,DONE,SYMBOL_MISSING,,cfg_sw20_span21;cfg_sw20_span50,, LAUNCHED | Wave 1 up 2026-08-18 07:35:41 via Start-Process (the #212-proven mechanism). cfgsw20span50 PID 155
S6-B1646c,DONE,NO_CLAIM,,,, OWNER RULED A - RUN CONTINUES UNDER WATCH | Owner chose (A) let wave 1 finish under close watch. Neither conf
S6-B1646d,DONE,NO_CLAIM,,,," DONE - CHECKLIST #219 | The arithmetic error: N x peak < free is not a fit. I compared 6,446 against 7,705 an"
S6-B1647a,DONE,NO_CLAIM,,,," ARMED | 13-minute memory watch, CronCreate 558d96c7, in addition to the hourly 5403417a. Option A accepts a k"
S6-B1647b,DONE,NO_CLAIM,,,," WAVE 1 POST-CONFIG RUN - STEPS 1 AND 3 EXECUTED, BOTH CONFIGS | Step 1 cube sanity PASS on both (1 strategy, "
S6-B1680a,DONE,NO_CLAIM,,,," DONE - WAVE 1 COMPLETE | Both configs reached 2026-05-05, exited cleanly, cubes 2.8 / 3.0 MB, no MemoryError "
S6-B1680b,DONE,SYMBOL_PRESENT,tail_n,tail_n=2,," DONE - POST-CONFIG STEPS 1-3 | 1 SANITY PASS both: 1 strategy, [26] exits/entry, mega-caps present, A-C 33pct"
